City,Zip Code,Population ,Precipation,Temperature ,Air Quality,Population per square mile,Land type,Latitute,Longtitude 
Acton,93510,"7,626",24.93,58,38,221,Rural,34.4835,-118.1959
Agoura Hills,91301,"25,631",19.6,64.1,42,"2,600",Suburban,34.1227,-118.7573
Alhambra,91801,"54,479",23.24,66,57,"12,700",Urban,34.0914,-118.1293
Altadena,91001,"37,711",25.19,62,45,"4,700",Suburban,34.1912,-118.1392
Arcadia,91007,"34,523",25.19,63.5,50,"6,300",Suburban,34.1243,-118.0515
Artesia,90701,"16,535",18,64,52,"9,800",Suburban,33.8654,-118.0731
Avalon,90704,"3,795",18,60,40,"3,800",Urban,33.332,-118.3437
Azusa,91702,"49,215",23,65,55,"6,600",Suburban,34.1248,-117.9031
Baldwin Park,91706,"76,571",23,64.5,60,"15,500",Urban,34.0964,-117.9682
Bell,90201,"103,892",23,65,58,"21,500",Urban,33.9653,-118.1515
Bell Gardens,90201,"103,892",23,65,59,"17,000",Urban,33.9653,-118.1515
Bellflower,90706,"77,772",23,64,55,"13,400",Suburban,33.8867,-118.1265
Beverly Hills,90210,"21,746",23,63,47,"5,800",Urban,34.0901,-118.4065
Burbank,91505,"31,107",23.24,64,53,"6,000",Urban,34.169,-118.3442
Calabasas,91302,"24,091",23,64.5,45,"1,700",Suburban,34.1419,-118.6641
Carson,90745,"58,014",23,65,56,"4,900",Suburban,33.823,-118.2684
Cerritos,90703,"50,004",23,64,52,"5,600",Suburban,33.8669,-118.0686
Claremont,91711,"36,015",23,63.5,47,"3,500",Suburban,34.1092,-117.7183
Commerce,90040,"13,060",23,65,58,"1,600",Urban,33.9909,-118.1532
Compton,90220,"93,271",23,65,60,"9,900",Urban,33.8748,-118.2402
Covina,91722,"48,245",23,63.5,53,"7,600",Suburban,34.0972,-117.9065
Cudahy,90201,"103,892",23,65,59,"23,800",Urban,33.9653,-118.1515
Culver City,90230,"31,766",23,64,50,"7,700",Urban,33.9949,-118.3991
Diamond Bar,91765,"47,017",23,63.5,52,"4,100",Suburban,34.0066,-117.8098
Downey,90242,"44,094",23,64.5,56,"9,200",Urban,33.9218,-118.1395
Duarte,91010,"25,057",23,63.5,54,"4,500",Suburban,34.1407,-117.9567
El Monte,91731,"30,403",23,64,55,"11,900",Urban,34.0791,-118.0371
El Segundo,90245,"17,063",23,64,45,"3,200",Suburban,33.9243,-118.4119
Encino,91436,"14,372",23,64,51,"4,400",Urban,34.151,-118.4882
Gardena,90249,"29,016",23,65,58,"10,000",Urban,33.8998,-118.3199
Glendale,91206,"32,426",23,64,54,"7,300",Urban,34.1556,-118.2322
Glendora,91741,"26,756",23,63.5,55,"4,300",Suburban,34.1537,-117.8437
Granada Hills,91344,"53,998",23,64,51,"3,300",Suburban,34.2771,-118.4992
Hacienda Heights,91745,"54,039",22.8,63,53,"5,400",Suburban,33.9977,-117.9652
Hawaiian Gardens,90716,"14,465",22,64.5,54,"13,500",Suburban,33.8296,-118.073
Hawthorne,90250,"93,193",22.5,64.5,55,"14,000",Urban,33.9143,-118.3493
Hermosa Beach,90254,"19,506",21,63,46,"13,700",Suburban,33.8643,-118.3955
Huntington Park,90255,"75,812",23,65,57,"20,400",Urban,33.9769,-118.2161
Inglewood,90301,"37,429",22.5,64.5,56,"12,100",Urban,33.955,-118.3556
La Canada Flintridge,91011,"20,584",24.5,62.5,47,"2,300",Suburban,34.2217,-118.2051
La Crescenta,91214,"31,578",24.5,62.5,46,"5,600",Suburban,34.2316,-118.2457
La Mirada,90638,"49,133",22,64,54,"5,300",Suburban,33.9067,-118.0101
La Puente,91744,"87,961",22.8,63,55,"12,200",Suburban,34.0289,-117.9373
La Verne,91750,"33,695",23.5,63,54,"3,700",Suburban,34.1159,-117.7708
Lakewood,90712,"32,600",22,64,52,"8,900",Suburban,33.8512,-118.1457
Lancaster,93535,"72,046",11.7,60,45,"1,600",Suburban,34.7131,-117.8783
Lawndale,90260,"33,078",22,64.5,55,"15,300",Urban,33.8879,-118.351
Lomita,90717,"20,768",22,64.5,54,"10,300",Suburban,33.7938,-118.3172
Long Beach,90805,"91,474",23.8,63.5,57,"9,700",Urban,33.8635,-118.1801
Los Angeles,90011,"103,892",25.2,64.5,65,"8,500",Urban,34.0079,-118.2582
Lynwood,90262,"69,772",22,64.5,57,"13,000",Urban,33.9241,-118.2013
Malibu,90265,"12,645",23.5,62,40,700,Rural,34.0402,-118.7351
Manhattan Beach,90266,"35,924",21.5,63,27,"9,800",Suburban,33.8896,-118.3996
Marina del Rey,90292,"21,576",21.5,63.5,35,"13,500",Urban,33.9779,-118.4525
Maywood,90270,"27,395",23,65,60,"24,000",Urban,33.989,-118.1877
Monrovia,91016,"41,339",24,63,55,"5,600",Suburban,34.144,-118.0014
Montebello,90640,"63,495",23,65,58,"12,300",Urban,34.0133,-118.113
Monterey Park,91754,"60,268",23,65,57,"7,600",Urban,34.0534,-118.1271
Montrose,91020,"8,507",24.5,62.5,50,"7,900",Suburban,34.2114,-118.2305
